127.0.0.1 - - [27/Sep/2019:16:09:10 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:09:12 +0530] "GET /RestAPI/WEB-INF/classes/com/rest/RestAPI/MyResource.java HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:09:30 +0530] "GET /RestAPI/WEB-INF/classes/com/rest/RestAPI/MyResource.java HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:09:31 +0530] "GET /RestAPI/WEB-INF/classes/com/rest/RestAPI/MyResource.java HTTP/1.1" 404 1047
127.0.0.1 - - [27/Sep/2019:16:10:24 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [27/Sep/2019:16:10:24 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [27/Sep/2019:16:10:24 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [27/Sep/2019:16:10:27 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [27/Sep/2019:16:10:27 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [27/Sep/2019:16:10:27 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [27/Sep/2019:16:10:27 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [27/Sep/2019:16:10:27 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [27/Sep/2019:16:14:11 +0530] "GET /assets/default-image.jpg HTTP/1.1" 404 1102
