127.0.0.1 - - [18/Nov/2019:09:36:15 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:09:36:16 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:09:36:16 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:09:36:18 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:36:19 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:09:36:19 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:09:36:37 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:36:37 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:09:36:37 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:09:36:41 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:36:41 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:36:41 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:09:36:41 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:09:36:41 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:36:58 +0530] "GET /RestAPI/webapi/myresource/getEmpByUserPass/Divija/1234 HTTP/1.1" 204 -
127.0.0.1 - - [18/Nov/2019:09:37:04 +0530] "GET /RestAPI/webapi/myresource/getEmpByUserPass/divija/1234 HTTP/1.1" 204 -
127.0.0.1 - - [18/Nov/2019:09:37:09 +0530] "GET /RestAPI/webapi/myresource/getEmpByUserPass/divija/fairy HTTP/1.1" 200 109
127.0.0.1 - - [18/Nov/2019:09:37:11 +0530] "GET /RestAPI/webapi/myresource/getMsgs HTTP/1.1" 200 221
127.0.0.1 - - [18/Nov/2019:09:37:16 +0530] "GET /RestAPI/webapi/myresource/getMsgs HTTP/1.1" 200 221
127.0.0.1 - - [18/Nov/2019:09:37:16 +0530] "POST /RestAPI/webapi/myresource/forum/ HTTP/1.1" 204 -
127.0.0.1 - - [18/Nov/2019:09:37:27 +0530] "GET /RestAPI/webapi/myresource/getMsgs HTTP/1.1" 200 275
127.0.0.1 - - [18/Nov/2019:09:37:28 +0530] "POST /RestAPI/webapi/myresource/forum/ HTTP/1.1" 204 -
127.0.0.1 - - [18/Nov/2019:09:38:10 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:38:10 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:09:38:10 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:09:38:24 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:38:24 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:38:24 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:09:38:24 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:09:38:24 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:38:34 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:38:34 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:09:38:34 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:09:38:34 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:38:34 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:09:38:34 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:09:38:34 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:57:11 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:57:11 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:09:57:11 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:09:57:31 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:57:31 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:57:31 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:09:57:31 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:09:57:31 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:04:19 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:04:19 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:04:19 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:04:20 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:04:20 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:04:20 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:04:20 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:05:17 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:05:17 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:05:17 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:05:31 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:05:32 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:05:32 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:05:32 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:05:32 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:08:08 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:08:08 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:08:08 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:08:09 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:08:09 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:08:09 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:08:09 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
